Gene	MutSig(Q-value)	# Mut	#Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FNBP1		1	1	499	0.2%	Yes
CACNA2D1		2	2	499	0.4%	No
ESX1		1	1	499	0.2%	No
CACNA2D3		1	1	499	0.2%	No
CACNA2D2		3	2	499	0.4%	No
CACNA2D4		2	2	499	0.4%	No
MTHFD1		2	2	499	0.4%	No
SPINT1		1	1	499	0.2%	No
LRATD1		2	2	499	0.4%	No
EWSR1		4	4	499	0.8%	Yes
MTHFD2		1	1	499	0.2%	Yes
ASPHD1		1	1	499	0.2%	No
ZC3H11A		2	2	499	0.4%	No
TXNIP		3	3	499	0.6%	No
JTB		1	1	499	0.2%	No
ASPHD2		2	2	499	0.4%	No
CLOCK		1	1	499	0.2%	No
PLBD2		1	1	499	0.2%	No
SLBP		1	1	499	0.2%	No
MEPCE		4	4	499	0.8%	No
ZC3HAV1		3	3	499	0.6%	No
TEX26		1	1	499	0.2%	No
LYPD4		1	1	499	0.2%	No
LYPD5		1	1	499	0.2%	No
TEX29		1	1	499	0.2%	No
DEDD2		2	2	499	0.4%	No
PRPSAP2		1	1	499	0.2%	No
HLCS		2	2	499	0.4%	No
AGMO		2	2	499	0.4%	No
MOV10L1		2	2	499	0.4%	No
JAG2		4	4	499	0.8%	No
HEXIM1		1	1	499	0.2%	No
TOE1		2	2	499	0.4%	No
HLA-DRB6		2	2	499	0.4%	No
CREBBP		8	7	499	1.4%	Yes
HLA-DRB5		1	1	499	0.2%	No
JAG1		1	1	499	0.2%	No
JUP		2	2	499	0.4%	No
IGHV3-11		1	1	499	0.2%	No
BTBD16		1	1	499	0.2%	No
PBX3		1	1	499	0.2%	No
EIF2AK3		4	4	499	0.8%	No
PBX2		1	1	499	0.2%	No
LNPEP		1	1	499	0.2%	No
PBX4		4	4	499	0.8%	No
EIF2AK4		3	3	499	0.6%	No
BTBD10		2	2	499	0.4%	No
PBX1		2	2	499	0.4%	Yes
FAM111B		3	3	499	0.6%	No
FAM111A		3	3	499	0.6%	No
AGO3		2	2	499	0.4%	No
AGO4		1	1	499	0.2%	No
AGO1		1	1	499	0.2%	Yes
AGO2		1	1	499	0.2%	Yes
NMT1		1	1	499	0.2%	No
NANOG		1	1	499	0.2%	No
HLA-DRB1		1	1	499	0.2%	No
LGMN		1	1	499	0.2%	No
PSME3IP1		1	1	499	0.2%	No
DPYS		2	2	499	0.4%	No
NCAPG2		2	2	499	0.4%	No
SNX13		3	3	499	0.6%	No
TRBV6-1		2	2	499	0.4%	No
TFCP2L1		2	2	499	0.4%	No
EVPLL		2	2	499	0.4%	No
TRBV6-7		6	3	499	0.6%	No
TRBV6-8		1	1	499	0.2%	No
TRBV6-6		2	2	499	0.4%	No
CASP10		1	1	499	0.2%	No
JAK2		1	1	499	0.2%	Yes
JAK3		1	1	499	0.2%	Yes
SLC18A1		2	2	499	0.4%	No
SLC18A2		4	3	499	0.6%	No
JAK1		6	5	499	1.0%	Yes
SLC18A3		1	1	499	0.2%	No
CHST8		3	3	499	0.6%	No
MAMDC4		3	3	499	0.6%	No
RING1		2	2	499	0.4%	No
CRPPA		1	1	499	0.2%	No
DUSP1		1	1	499	0.2%	No
IFT140		6	4	499	0.8%	No
TEX10		1	1	499	0.2%	No
TEX11		3	3	499	0.6%	No
MAMDC2		2	2	499	0.4%	No
TEX14		5	5	499	1.0%	No
TEX15		4	4	499	0.8%	No
DUSP8		3	3	499	0.6%	No
DUSP7		1	1	499	0.2%	No
SDHAF3		1	1	499	0.2%	No
PLSCR5		2	2	499	0.4%	No
DPYD		3	3	499	0.6%	Yes
AGPS		1	1	499	0.2%	No
CHST1		1	1	499	0.2%	No
CHST4		1	1	499	0.2%	No
CHST5		1	1	499	0.2%	No
CHST2		1	1	499	0.2%	No
CHST3		3	2	499	0.4%	No
ECHS1		1	1	499	0.2%	No
SNX32		2	2	499	0.4%	No
SNX33		2	2	499	0.4%	No
SNX30		1	1	499	0.2%	No
SNX31		3	3	499	0.6%	No
FAM117B		1	1	499	0.2%	No
SNX29		2	2	499	0.4%	Yes
SNX25		2	2	499	0.4%	No
AGR2		1	1	499	0.2%	No
AGR3		2	2	499	0.4%	No
JAM2		1	1	499	0.2%	No
ATAD1		1	1	499	0.2%	No
RIC3		1	1	499	0.2%	No
SLF1		3	3	499	0.6%	No
SLF2		3	3	499	0.6%	No
RIC1		3	3	499	0.6%	No
ATAD5		2	2	499	0.4%	No
ATAD2		4	4	499	0.8%	No
MATCAP2		1	1	499	0.2%	No
PASD1		5	5	499	1.0%	No
KIR3DL1		2	2	499	0.4%	No
SNX21		1	1	499	0.2%	No
SNX22		1	1	499	0.2%	No
SNX20		1	1	499	0.2%	No
DCBLD1		2	2	499	0.4%	No
SNX18		1	1	499	0.2%	No
SNX19		5	4	499	0.8%	No
MYBBP1A		2	2	499	0.4%	No
SNX17		2	2	499	0.4%	No
CCDC9		1	1	499	0.2%	No
CCDC8		2	2	499	0.4%	No
SNX15		1	1	499	0.2%	No
CCDC7		3	2	499	0.4%	No
NCAPD2		1	1	499	0.2%	No
NCAPD3		3	3	499	0.6%	No
CIAPIN1		1	1	499	0.2%	No
CCDC3		2	2	499	0.4%	No
LGR6		3	2	499	0.4%	No
AGRN		3	2	499	0.4%	No
LGR5		3	2	499	0.4%	Yes
LGR4		1	1	499	0.2%	No
GZF1		2	2	499	0.4%	No
ALDH1L1		3	3	499	0.6%	No
RIF1		2	2	499	0.4%	No
TMEM167B		1	1	499	0.2%	No
LY75		5	5	499	1.0%	No
ATP12A		3	3	499	0.6%	No
ALDH1L2		1	1	499	0.2%	Yes
LAPTM4B		1	1	499	0.2%	No
EFEMP2		1	1	499	0.2%	No
EFEMP1		1	1	499	0.2%	No
KMT5B		2	2	499	0.4%	No
KMT5A		1	1	499	0.2%	Yes
KIR3DX1		2	2	499	0.4%	No
UGT2B10		4	3	499	0.6%	No
IFNA13		1	1	499	0.2%	No
PCYT2		1	1	499	0.2%	No
UGT2B11		2	2	499	0.4%	No
IFNA16		2	2	499	0.4%	No
KMT5C		1	1	499	0.2%	No
IFNA17		2	2	499	0.4%	No
UGT2B15		3	3	499	0.6%	No
UGT2B17		1	1	499	0.2%	No
ATP11C		1	1	499	0.2%	No
ATP11B		3	2	499	0.4%	No
ATP11A		3	1	499	0.2%	No
SDCBP2		1	1	499	0.2%	No
FAM118B		2	1	499	0.2%	No
RINT1		1	1	499	0.2%	No
LGSN		4	4	499	0.8%	No
OR9A4		1	1	499	0.2%	No
SRSF2		2	2	499	0.4%	Yes
LY6D		1	1	499	0.2%	No
OR9A2		1	1	499	0.2%	No
SRSF3		1	1	499	0.2%	Yes
SRSF4		6	6	499	1.2%	No
PTPRCAP		1	1	499	0.2%	No
LY6H		1	1	499	0.2%	No
SRSF7		1	1	499	0.2%	No
AJUBA		1	1	499	0.2%	Yes
IFNA10		1	1	499	0.2%	No
GRIA1		12	12	499	2.4%	No
KMT2E		6	6	499	1.2%	No
GRIA2		5	5	499	1.0%	No
KMT2D		36	29	499	5.8%	Yes
KMT2A		10	7	499	1.4%	Yes
UQCRB		1	1	499	0.2%	No
KMT2C		35	30	499	6.0%	Yes
KMT2B		4	3	499	0.6%	Yes
LY96		1	1	499	0.2%	No
CREBL2		1	1	499	0.2%	No
UAP1		1	1	499	0.2%	No
AMDHD1		3	3	499	0.6%	No
AMDHD2		1	1	499	0.2%	No
KRTAP4-4		1	1	499	0.2%	No
KHDC4		6	6	499	1.2%	No
KDSR		1	1	499	0.2%	Yes
KRTAP4-1		2	2	499	0.4%	No
GRIA3		1	1	499	0.2%	No
IP6K3		1	1	499	0.2%	No
GRIA4		4	4	499	0.8%	No
KRTAP4-9		12	12	499	2.4%	No
KRTAP4-8		9	8	499	1.6%	No
KRTAP4-7		5	5	499	1.0%	No
KRTAP4-6		6	6	499	1.2%	No
KRTAP4-5		2	2	499	0.4%	No
NHSL3		2	2	499	0.4%	No
BFSP2		1	1	499	0.2%	No
BFSP1		1	1	499	0.2%	No
SH3BP5L		2	2	499	0.4%	No
ADSS2		1	1	499	0.2%	No
CLPTM1L	1.640e-12	3	2	499	0.4%	No
RIGI		5	2	499	0.4%	No
OR7E24		3	3	499	0.6%	No
TRIM71		3	2	499	0.4%	No
TRIM72		2	2	499	0.4%	No
TRIM74		1	1	499	0.2%	No
PTEN	6.560e-11	17	17	499	3.4%	Yes
ECE1		3	3	499	0.6%	No
ETFA		1	1	499	0.2%	No
ECE2		2	2	499	0.4%	No
RESF1		4	4	499	0.8%	No
AP4M1		2	1	499	0.2%	No
KIAA1549		1	1	499	0.2%	No
PTER		1	1	499	0.2%	No
TRIM68		2	2	499	0.4%	No
TRIM69		1	1	499	0.2%	No
NKX3-1	4.500e-3	5	5	499	1.0%	Yes
TRIM67		3	3	499	0.6%	No
GRID2		6	6	499	1.2%	No
TRIM62		2	2	499	0.4%	No
VPS9D1		1	1	499	0.2%	No
GRID1		4	4	499	0.8%	No
TNFRSF18		2	2	499	0.4%	No
TNFRSF1B		1	1	499	0.2%	No
ARFGAP3		6	6	499	1.2%	No
TNFRSF1A		1	1	499	0.2%	No
ARFGAP2		2	2	499	0.4%	No
ARL4C		1	1	499	0.2%	No
ZNF878		8	7	499	1.4%	No
ETF1		2	2	499	0.4%	No
SMCR8		1	1	499	0.2%	No
ZNF875		1	1	499	0.2%	No
AGXT		1	1	499	0.2%	No
TNFRSF21		7	5	499	1.0%	No
TRIM56		2	2	499	0.4%	No
TRIM51		4	4	499	0.8%	No
CANT1	2.410e-2	3	3	499	0.6%	Yes
CARNMT1		1	1	499	0.2%	No
HM13		1	1	499	0.2%	No
SRSF1		3	3	499	0.6%	No
SRBD1		1	1	499	0.2%	No
ATP10D		2	2	499	0.4%	No
ATP10B		8	8	499	1.6%	No
UGT2B28		2	2	499	0.4%	No
IGHV3-48		2	2	499	0.4%	No
ATP10A		1	1	499	0.2%	No
PTH2		9	9	499	1.8%	No
ARL13B		1	1	499	0.2%	No
E2F1		3	2	499	0.4%	No
UBQLN1		2	2	499	0.4%	No
TRIM46		2	1	499	0.2%	No
E2F3		1	1	499	0.2%	Yes
TRIM48		4	4	499	0.8%	No
OR12D3		1	1	499	0.2%	No
OR12D2		1	1	499	0.2%	No
TRIM49		1	1	499	0.2%	No
TRIM42		3	3	499	0.6%	No
UBQLN4		2	2	499	0.4%	No
TRIM43		2	2	499	0.4%	No
ZNF862		1	1	499	0.2%	No
UBQLN3		2	2	499	0.4%	No
UBQLN2		1	1	499	0.2%	No
E2F8		1	1	499	0.2%	No
TRIM45		1	1	499	0.2%	No
ZNF860		1	1	499	0.2%	No
TRIM40		1	1	499	0.2%	No
GZMA		1	1	499	0.2%	No
CNBP		1	1	499	0.2%	Yes
TXNL1		2	2	499	0.4%	No
STYK1		1	1	499	0.2%	No
CABLES1		1	1	499	0.2%	No
HCRTR2		5	5	499	1.0%	No
GZMH		3	3	499	0.6%	No
TM6SF2		1	1	499	0.2%	No
GZMK		2	2	499	0.4%	No
DBNDD1		1	1	499	0.2%	No
UBQLNL		3	3	499	0.6%	No
TRIM36		2	2	499	0.4%	No
TRIM37		3	3	499	0.6%	No
ZNF853		1	1	499	0.2%	No
TRIM31		4	4	499	0.8%	No
TRIM32		1	1	499	0.2%	No
TRIM33		5	5	499	1.0%	Yes
ZNF850		1	1	499	0.2%	No
ODAD1		1	1	499	0.2%	No
OR9K2		1	1	499	0.2%	No
TNFRSF6B		1	1	499	0.2%	No
ODAD2		2	2	499	0.4%	No
THSD7B		5	5	499	1.0%	No
ECI1		1	1	499	0.2%	No
ECI2		2	2	499	0.4%	No
ICAM2		2	2	499	0.4%	No
ICAM3		1	1	499	0.2%	No
ICAM4		2	2	499	0.4%	No
ICAM5		1	1	499	0.2%	No
IKZF1		1	1	499	0.2%	Yes
IKZF3		2	2	499	0.4%	Yes
IKZF4		1	1	499	0.2%	No
ICAM1		2	2	499	0.4%	No
IKZF5		1	1	499	0.2%	No
EFR3A		3	2	499	0.4%	No
TRIM28		3	3	499	0.6%	No
TRIM29		4	4	499	0.8%	No
ANPEP		2	2	499	0.4%	No
KDR		8	5	499	1.0%	Yes
TRIM25		2	1	499	0.2%	No
TRIM27		1	1	499	0.2%	Yes
THSD7A		6	4	499	0.8%	No
TP63		3	3	499	0.6%	Yes
TRIM22		2	2	499	0.4%	No
ECH1		1	1	499	0.2%	No
SNHG14		1	1	499	0.2%	No
PNLDC1		2	2	499	0.4%	No
RIN3		2	2	499	0.4%	No
TRIM15		1	1	499	0.2%	No
TRIM16		1	1	499	0.2%	No
RIN1		1	1	499	0.2%	No
TP53	1.640e-12	64	61	499	12.2%	Yes
TRIM10		2	2	499	0.4%	No
RIN2		1	1	499	0.2%	No
ROPN1		1	1	499	0.2%	No
OR9I1		2	2	499	0.4%	No
TMEM63A		2	2	499	0.4%	No
TMEM63B		2	2	499	0.4%	No
GIPR		2	2	499	0.4%	No
TMEM63C		1	1	499	0.2%	No
ACTR3B		2	2	499	0.4%	No
TTBK1		3	3	499	0.6%	No
MED12L		7	6	499	1.2%	No
TTBK2		4	4	499	0.8%	No
HLTF		3	3	499	0.6%	No
SARAF		1	1	499	0.2%	No
B4GALNT1		6	6	499	1.2%	No
DECR2		1	1	499	0.2%	No
B4GALNT3		5	3	499	0.6%	No
PCK2		2	2	499	0.4%	No
B4GALNT4		5	4	499	0.8%	No
HARS1		1	1	499	0.2%	No
PHETA2		1	1	499	0.2%	No
SPHKAP		9	9	499	1.8%	No
NBEAL1		4	3	499	0.6%	No
NBEAL2		4	2	499	0.4%	No
BRI3BP		1	1	499	0.2%	No
FER1L6		2	2	499	0.4%	No
PTK2		3	3	499	0.6%	No
MED13L		4	2	499	0.4%	No
SPMIP4		3	3	499	0.6%	No
POLA1		1	1	499	0.2%	No
POLA2		1	1	499	0.2%	No
SPMIP6		1	1	499	0.2%	No
NDUFAF6		3	2	499	0.4%	No
PTK7		6	6	499	1.2%	Yes
NDUFAF1		1	1	499	0.2%	No
OR9G4		2	2	499	0.4%	No
MON1A		2	2	499	0.4%	No
TP73		2	1	499	0.2%	No
MON1B		2	2	499	0.4%	No
OR9G1		3	3	499	0.6%	No
SPAG16		4	4	499	0.8%	No
SPAG17		4	4	499	0.8%	No
ECM2		2	1	499	0.2%	No
GRIK5		1	1	499	0.2%	No
GRIK3		6	6	499	1.2%	No
AP4E1		2	2	499	0.4%	No
GRIK4		3	3	499	0.6%	No
GRIK1		5	4	499	0.8%	No
GRIK2		1	1	499	0.2%	No
COX7C		1	1	499	0.2%	No
KHK		1	1	499	0.2%	No
PTMS		1	1	499	0.2%	No
HERPUD1		1	1	499	0.2%	Yes
PPP3CA		2	2	499	0.4%	No
SYNCRIP		2	2	499	0.4%	No
PCM1		1	1	499	0.2%	Yes
PPP3CB		1	1	499	0.2%	No
ACTR1A		1	1	499	0.2%	No
PPP3CC		2	2	499	0.4%	No
ACTR1B		1	1	499	0.2%	No
PCLO		20	13	499	2.6%	Yes
NMRK1		1	1	499	0.2%	No
CNTRL		2	1	499	0.2%	Yes
UIMC1		2	2	499	0.4%	No
PHGDH		1	1	499	0.2%	No
MCF2L2		2	1	499	0.2%	No
GIT1		1	1	499	0.2%	No
ATPAF2		2	2	499	0.4%	No
TOX4		3	3	499	0.6%	No
KIN		3	3	499	0.6%	No
TOX3		3	2	499	0.4%	No
ARHGEF9		1	1	499	0.2%	No
TOX2		2	1	499	0.2%	No
ANKFN1		3	3	499	0.6%	No
SLTM		4	3	499	0.6%	No
KIT		3	2	499	0.4%	Yes
ARHGEF3		1	1	499	0.2%	No
ARHGEF4		1	1	499	0.2%	No
ARHGEF1		5	5	499	1.0%	No
ARHGEF2		5	4	499	0.8%	No
ARHGEF7		1	1	499	0.2%	No
SLU7		1	1	499	0.2%	No
ARHGEF5		4	4	499	0.8%	No
ARHGEF6		1	1	499	0.2%	No
AHCY		2	2	499	0.4%	No
PCNA		2	2	499	0.4%	No
GPALPP1		1	1	499	0.2%	No
FITM2		1	1	499	0.2%	No
PTPA		1	1	499	0.2%	No
SLX4		6	6	499	1.2%	Yes
ORMDL2		1	1	499	0.2%	No
ORMDL3		1	1	499	0.2%	No
PCNT		6	5	499	1.0%	No
FILIP1L		5	5	499	1.0%	No
SLX9		3	3	499	0.6%	No
GIT2		2	2	499	0.4%	No
IGKV1-9		1	1	499	0.2%	No
IGKV1-8		2	2	499	0.4%	No
SPRYD4		1	1	499	0.2%	No
IGKV1-6		4	4	499	0.8%	No
TMEM176A		1	1	499	0.2%	No
ORMDL1		2	2	499	0.4%	No
CYP8B1		1	1	499	0.2%	No
YIF1A		1	1	499	0.2%	No
GRIN1		3	3	499	0.6%	No
YIF1B		2	2	499	0.4%	No
RP1L1		8	8	499	1.6%	No
SGSM1		1	1	499	0.2%	No
RIT1		1	1	499	0.2%	Yes
SEMG2		1	1	499	0.2%	No
SGSM3		2	2	499	0.4%	No
SEMG1		1	1	499	0.2%	No
SGSM2		2	2	499	0.4%	No
PRDM8		3	3	499	0.6%	No
KLB		2	2	499	0.4%	No
PRDM7		3	3	499	0.6%	No
PRDM9		4	4	499	0.8%	No
NUP188		2	2	499	0.4%	No
PRDM5		2	2	499	0.4%	No
C4ORF19		3	3	499	0.6%	No
PRDM2		4	3	499	0.6%	No
CELSR1		4	4	499	0.8%	No
CELSR2		11	6	499	1.2%	No
ETS1		1	1	499	0.2%	Yes
CELSR3		9	6	499	1.2%	No
GRIP1		5	5	499	1.0%	No
GNPTAB		4	3	499	0.6%	No
SPINK4		1	1	499	0.2%	No
PCID2		2	2	499	0.4%	No
FBXW12		1	1	499	0.2%	No
SPINK1		1	1	499	0.2%	No
FBXW10		2	2	499	0.4%	No
FBXW11		2	2	499	0.4%	No
TMOD3		1	1	499	0.2%	No
SPINK5		1	1	499	0.2%	No
TMOD2		1	1	499	0.2%	No
ACOT12		2	2	499	0.4%	No
TTC7B		3	3	499	0.6%	No
TTC7A		2	2	499	0.4%	No
KMO		2	2	499	0.4%	No
CCNB1IP1		1	1	499	0.2%	Yes
GRIP2		1	1	499	0.2%	No
SLFN12		1	1	499	0.2%	No
PCP2		2	2	499	0.4%	No
SLFN13		2	1	499	0.2%	No
PCP4		1	1	499	0.2%	No
SLFN11		1	1	499	0.2%	Yes
POLG2		1	1	499	0.2%	No
SPINK9		1	1	499	0.2%	No
NNMT		1	1	499	0.2%	No
TSG101		3	3	499	0.6%	No
NDUFB10		2	2	499	0.4%	No
UBA7		2	2	499	0.4%	No
PLGRKT		2	2	499	0.4%	No
COX15		2	2	499	0.4%	No
UBA6		2	2	499	0.4%	No
UBA5		1	1	499	0.2%	No
SLC41A2		1	1	499	0.2%	No
OR9Q2		2	2	499	0.4%	No
OR9Q1		1	1	499	0.2%	No
SLC41A1		2	2	499	0.4%	No
NUP160		3	3	499	0.6%	No
INAVA		1	1	499	0.2%	No
TRBV5-7		1	1	499	0.2%	No
TRAV25		1	1	499	0.2%	No
TIMM50		1	1	499	0.2%	No
CNN1		1	1	499	0.2%	No
COX11		1	1	499	0.2%	No
CYTL1		2	2	499	0.4%	No
ECT2		1	1	499	0.2%	No
CNMD		1	1	499	0.2%	No
CNTLN		1	1	499	0.2%	No
TRAV17		1	1	499	0.2%	No
TCAF2		2	2	499	0.4%	No
TRAV18		1	1	499	0.2%	No
AUTS2		3	3	499	0.6%	No
CNTN5		2	2	499	0.4%	No
CNTN6		8	8	499	1.6%	No
PCIF1		1	1	499	0.2%	No
BLTP2		4	2	499	0.4%	No
NUP153		2	2	499	0.4%	No
AP4B1		5	5	499	1.0%	No
BLTP1		6	5	499	1.0%	No
AHI1		3	2	499	0.4%	No
UVSSA		3	3	499	0.6%	No
MKRN1		4	4	499	0.8%	No
RSPH14		2	2	499	0.4%	No
CNTN2		1	1	499	0.2%	No
MKRN3		1	1	499	0.2%	No
UBA2		2	2	499	0.4%	No
CNTN3		1	1	499	0.2%	No
UBA1		2	2	499	0.4%	Yes
CNTN4		2	2	499	0.4%	No
SWSAP1		1	1	499	0.2%	No
TNFAIP8		1	1	499	0.2%	No
TTC23		1	1	499	0.2%	No
TTC24		1	1	499	0.2%	No
TNFAIP6		2	2	499	0.4%	No
TNFAIP2		1	1	499	0.2%	No
TNFAIP3		1	1	499	0.2%	Yes
USE1		1	1	499	0.2%	No
LMNB2		2	1	499	0.2%	No
LIAT1		3	3	499	0.6%	No
FYCO1		2	2	499	0.4%	No
C4ORF51		3	3	499	0.6%	No
CYTIP		4	4	499	0.8%	No
SIGLECL1		1	1	499	0.2%	No
NUP133		3	3	499	0.6%	No
OLIG3		1	1	499	0.2%	No
SHROOM2		1	1	499	0.2%	No
SHROOM3		3	3	499	0.6%	No
C4ORF46		1	1	499	0.2%	No
ETV1		2	2	499	0.4%	Yes
ETV2		1	1	499	0.2%	No
ETV3	1.950e-3	5	5	499	1.0%	No
SYNGR3		1	1	499	0.2%	No
ETV4		2	2	499	0.4%	Yes
ETV5		3	3	499	0.6%	Yes
SHROOM4		7	7	499	1.4%	No
ETV6		1	1	499	0.2%	Yes
ACOX2		2	1	499	0.2%	No
ACOX1		1	1	499	0.2%	No
IFIT1B		1	1	499	0.2%	No
ACOX3		1	1	499	0.2%	No
SFSWAP		3	3	499	0.6%	No
SLC3A1		3	2	499	0.4%	No
SLC3A2		1	1	499	0.2%	No
NT5C2		3	3	499	0.6%	Yes
CYTH3		3	3	499	0.6%	No
POLD3		1	1	499	0.2%	No
CAND2		4	4	499	0.8%	No
CYTH2		1	1	499	0.2%	No
CYTH4		3	2	499	0.4%	No
CNR2		1	1	499	0.2%	No
CNR1		5	4	499	0.8%	No
POLD1		3	2	499	0.4%	Yes
POLD2		1	1	499	0.2%	No
BNIP1		3	3	499	0.6%	No
PRPS1L1		4	4	499	0.8%	No
TRDMT1		2	1	499	0.2%	No
NIPSNAP3B		1	1	499	0.2%	No
TTC14		2	1	499	0.2%	No
TTC12		1	1	499	0.2%	No
URGCP		5	5	499	1.0%	No
TTC13		4	4	499	0.8%	No
BNIP5		1	1	499	0.2%	No
SDHAP1		6	6	499	1.2%	No
USF3		2	2	499	0.4%	No
USF2		1	1	499	0.2%	No
YY1AP1		3	2	499	0.4%	Yes
TTC16		1	1	499	0.2%	No
TTC17		4	4	499	0.8%	No
CIMIP2A		1	1	499	0.2%	No
OPN1SW		1	1	499	0.2%	No
ERCC3		1	1	499	0.2%	Yes
COL7A1		11	8	499	1.6%	No
ERCC1		1	1	499	0.2%	Yes
POLE2		1	1	499	0.2%	No
ERCC2		3	3	499	0.6%	Yes
SARDH		7	4	499	0.8%	No
ERCC5		2	2	499	0.4%	Yes
PTX3		1	1	499	0.2%	No
ERCC6		5	5	499	1.0%	No
GPD1L		1	1	499	0.2%	No
BNIPL		1	1	499	0.2%	No
CNTF		1	1	499	0.2%	No
PRSS1		2	2	499	0.4%	Yes
SLC4A1		2	2	499	0.4%	No
SMC5		1	1	499	0.2%	No
WDR83		2	2	499	0.4%	No
MRGPRD		1	1	499	0.2%	No
NPIPB11		1	1	499	0.2%	No
SLC4A2		3	3	499	0.6%	No
SMC6		2	2	499	0.4%	No
SLC4A3		4	3	499	0.6%	No
SLC4A4		1	1	499	0.2%	No
SMC4		1	1	499	0.2%	No
SLC4A5		2	1	499	0.2%	No
NPIPB15		2	1	499	0.2%	No
SMC2		5	5	499	1.0%	No
WDR88		1	1	499	0.2%	No
GJA1		1	1	499	0.2%	No
GJA3		1	1	499	0.2%	No
EVA1A		1	1	499	0.2%	No
WDR93		1	1	499	0.2%	No
ZMIZ1		5	5	499	1.0%	No
GJA5		3	3	499	0.6%	No
ZMIZ2		2	2	499	0.4%	No
WDR90		2	1	499	0.2%	Yes
GJA4		2	2	499	0.4%	No
WDR91		1	1	499	0.2%	No
LUC7L		1	1	499	0.2%	No
PXDC1		1	1	499	0.2%	No
GJA8		5	5	499	1.0%	No
PRSS8		1	1	499	0.2%	Yes
NUP214		5	3	499	0.6%	Yes
RSPH6A		4	4	499	0.8%	No
NUP210		5	3	499	0.6%	No
ARMC9		3	2	499	0.4%	No
WDR75		1	1	499	0.2%	No
WDR72		6	5	499	1.0%	No
HCFC2		2	2	499	0.4%	No
KNSTRN		1	1	499	0.2%	Yes
WDR76		2	2	499	0.4%	No
HCFC1		3	2	499	0.4%	No
WDR77		2	2	499	0.4%	No
ARMC2		1	1	499	0.2%	No
DEPDC1B		1	1	499	0.2%	No
ADCY9		5	4	499	0.8%	No
ARMC5		1	1	499	0.2%	No
WDR81		4	4	499	0.8%	No
WDR82		1	1	499	0.2%	No
ARMC6		2	1	499	0.2%	No
PARD3		3	2	499	0.4%	No
ARMC3		1	1	499	0.2%	No
HMBS		1	1	499	0.2%	No
PI4K2A		2	2	499	0.4%	No
LIPT1		1	1	499	0.2%	No
TPH2		2	2	499	0.4%	No
TPH1		1	1	499	0.2%	No
NUP205		4	4	499	0.8%	No
WDR64		3	3	499	0.6%	No
AKAP17A		2	2	499	0.4%	No
BCL10		1	1	499	0.2%	Yes
WDR62		3	2	499	0.4%	No
SAMSN1		2	2	499	0.4%	No
NUGGC		1	1	499	0.2%	No
FAM86HP		1	1	499	0.2%	No
FAM171A1		3	3	499	0.6%	No
NCSTN		2	2	499	0.4%	Yes
FAM124B		1	1	499	0.2%	No
GJC2		2	2	499	0.4%	No
FAM124A		2	2	499	0.4%	No
WDR70		3	3	499	0.6%	No
POM121C		5	5	499	1.0%	No
C14ORF180		1	1	499	0.2%	No
HLA-DQA2		1	1	499	0.2%	No
LHPP		1	1	499	0.2%	No
WDR59		2	2	499	0.4%	No
ARPP21		6	6	499	1.2%	No
POU6F2		1	1	499	0.2%	No
C14ORF178		1	1	499	0.2%	No
POU6F1		1	1	499	0.2%	No
XKR8		1	1	499	0.2%	No
XKR7		1	1	499	0.2%	No
GJB2		1	1	499	0.2%	No
XKR9		1	1	499	0.2%	No
GJB4		2	2	499	0.4%	No
GJB6		1	1	499	0.2%	No
GJB5		2	2	499	0.4%	No
WDR5B		2	2	499	0.4%	No
MKS1		2	2	499	0.4%	No
XKR4		6	6	499	1.2%	No
XKR3		2	2	499	0.4%	No
XKR6		1	1	499	0.2%	No
FANK1		3	3	499	0.6%	No
WDR49		4	4	499	0.8%	No
WDR47		1	1	499	0.2%	No
SMG1		4	4	499	0.8%	Yes
WDR48		3	3	499	0.6%	No
PHF20		1	1	499	0.2%	No
PHF23		2	2	499	0.4%	No
SMG7		8	8	499	1.6%	No
LYST		9	8	499	1.6%	No
WDR46		2	2	499	0.4%	No
SMG5		1	1	499	0.2%	No
SMG6		1	1	499	0.2%	No
WDR44		1	1	499	0.2%	No
PHF24		2	2	499	0.4%	No
UBL7		1	1	499	0.2%	No
WDR38		1	1	499	0.2%	No
HELLS		1	1	499	0.2%	No
WDR36		1	1	499	0.2%	No
WDR37		2	2	499	0.4%	No
AHSG		1	1	499	0.2%	No
MSGN1		2	2	499	0.4%	No
WDR31		1	1	499	0.2%	No
WDR33		6	6	499	1.2%	No
IGLJ2		1	1	499	0.2%	No
KIFC2		1	1	499	0.2%	No
KIFC1		2	2	499	0.4%	No
AHRR		2	2	499	0.4%	No
KIFC3		1	1	499	0.2%	No
MYZAP		1	1	499	0.2%	No
HLA-DQB2		1	1	499	0.2%	No
IGLJ5		1	1	499	0.2%	No
WDR25		1	1	499	0.2%	No
WDR26		2	2	499	0.4%	No
AP5Z1		4	2	499	0.4%	No
ADCY4		3	3	499	0.6%	No
ADCY3		2	2	499	0.4%	No
ADCY2		4	3	499	0.6%	No
ADCY1		3	3	499	0.6%	No
ADCY8		7	6	499	1.2%	No
SPTY2D1		2	1	499	0.2%	No
TRBV7-7		1	1	499	0.2%	No
WDR24		4	2	499	0.4%	No
ADCY6		2	2	499	0.4%	No
FGD1		2	2	499	0.4%	No
